tempo,tipo
932.812464,CN_MM
0.093281,CN_RA
932.813653,CN_RA
932.814871,CN_RA
932.816054,CN_RA
932.818473,CN_MM
0.932818,CN_RA
932.820854,CN_MM
0.093282,CN_RA
932.822054,CN_RA
932.822054,CN_SA
932.823255,CN_MM
0.932823,CN_RA
932.825654,CN_MM
0.932825,CN_RA
932.82687,CN_MM
0.093282,CN_RA
932.828054,CN_MM
932.828054,CN_RA
932.828054,CN_SA
932.829254,CN_RA
932.829254,CN_SA
932.830465,CN_MM
0.093283,CN_RA
932.831654,CN_RA
932.831654,CN_SA
932.832853,CN_MM
0.093283,CN_RA
932.834055,CN_RA
932.835255,CN_MM
0.093283,CN_RA
932.836466,CN_MM
0.932836,CN_RA
932.837655,CN_MM
932.837655,CN_RA
932.837655,CN_SA
932.838854,CN_RA
932.838854,CN_SA
932.840054,CN_MM
932.840054,CN_RA
932.840054,CN_SA
932.841254,CN_RA
932.843654,CN_RA
932.844854,CN_MM
0.093284,CN_RA
932.846054,CN_MM
932.846054,CN_RA
932.847254,CN_RA
932.848465,CN_RA
932.849653,CN_RA
932.850854,CN_RA
932.853255,CN_MM
0.932853,CN_RA
932.855654,CN_RA
932.856872,CN_MM
0.932856,CN_RA
932.858054,CN_MM
932.858054,CN_RA
932.858054,CN_SA
932.859255,CN_RA
932.859255,CN_SA
932.860466,CN_RA
932.860466,CN_SA
932.862854,CN_MM
0.093286,CN_RA
932.864055,CN_MM
0.093286,CN_RA
932.865254,CN_MM
0.932865,CN_RA
932.867653,CN_RA
932.868855,CN_RA
932.870054,CN_RA
932.871254,CN_MM
0.093287,CN_RA
932.872455,CN_MM
0.093287,CN_RA
932.873654,CN_RA
932.873654,CN_SA
932.874854,CN_RA
932.874854,CN_SA
932.876054,CN_MM
0.932876,CN_RA
932.877254,CN_RA
932.877254,CN_SA
932.878465,CN_MM
0.093287,CN_RA
932.879654,CN_MM
0.093287,CN_RA
932.880855,CN_RA
932.882054,CN_MM
932.882054,CN_RA
932.883254,CN_RA
932.884455,CN_RA
932.885654,CN_RA
932.886853,CN_RA
932.886853,CN_SA
932.888054,CN_MM
932.888054,CN_RA
932.888054,CN_SA
932.889254,CN_RA
932.889254,CN_SA
932.891653,CN_MM
932.891653,CN_RA
932.891653,CN_SA
932.894054,CN_MM
932.894054,CN_RA
932.894054,CN_SA
932.895254,CN_MM
0.093289,CN_RA
932.896464,CN_RA
932.896464,CN_SA
932.897653,CN_RA
932.898854,CN_RA
932.906055,CN_RA
932.909654,CN_SA
932.910854,CN_MM
0.093291,CN_RA
932.912055,CN_MM
932.912055,CN_RA
932.912055,CN_SA
932.913253,CN_RA
932.914465,CN_MM
0.093291,CN_RA
932.915654,CN_MM
0.932915,CN_RA
932.916854,CN_RA
932.916854,CN_SA
932.918054,CN_RA
932.918054,CN_SA
932.919255,CN_RA
932.919255,CN_SA
932.924054,CN_RA
932.925254,CN_MM
0.093292,CN_RA
932.926466,CN_RA
932.927653,CN_RA
932.930054,CN_RA
932.934874,CN_RA
932.936054,CN_MM
932.936054,CN_RA
932.937255,CN_RA
932.938465,CN_MM
0.932938,CN_RA
932.939654,CN_RA
932.940871,CN_MM
0.093294,CN_RA
932.942054,CN_RA
932.943254,CN_RA
932.944465,CN_RA
932.945654,CN_MM
932.945654,CN_RA
932.946854,CN_RA
932.948054,CN_MM
932.948054,CN_RA
932.949254,CN_RA
932.952854,CN_MM
0.093295,CN_RA
932.955254,CN_RA
932.956465,CN_RA
932.957654,CN_MM
0.932957,CN_RA
932.958854,CN_RA
932.960054,CN_RA
932.961254,CN_RA
932.962473,CN_MM
0.093296,CN_RA
932.963654,CN_MM
932.963654,CN_RA
932.966055,CN_MM
932.966055,CN_RA
932.967255,CN_MM
0.932967,CN_RA
932.968459,CN_MM
0.093296,CN_RA
932.969654,CN_RA
932.970854,CN_RA
932.972054,CN_MM
0.932972,CN_RA
932.975654,CN_MM
932.975654,CN_RA
932.976854,CN_RA
932.978055,CN_MM
932.978055,CN_RA
932.979255,CN_RA
932.980466,CN_MM
0.93298,CN_RA
932.981655,CN_RA
932.982854,CN_MM
0.093298,CN_RA
932.984054,CN_MM
932.984054,CN_RA
932.985254,CN_MM
0.093298,CN_RA
932.986466,CN_RA
932.987655,CN_MM
0.093298,CN_RA
932.98887,CN_RA
932.990054,CN_MM
932.990054,CN_RA
932.992454,CN_MM
0.932992,CN_RA
932.993653,CN_MM
0.932993,CN_RA
932.994854,CN_RA
932.996055,CN_MM
0.932996,CN_RA
932.997253,CN_MM
0.093299,CN_RA
932.998463,CN_RA
932.999654,CN_RA
933.000854,CN_MM
0.0933,CN_RA
933.002054,CN_RA
933.003254,CN_MM
0.0933,CN_RA
933.005653,CN_RA
933.006872,CN_MM
0.933006,CN_RA
933.008054,CN_MM
933.008054,CN_RA
933.009254,CN_RA
933.010465,CN_MM
0.093301,CN_RA
933.011654,CN_RA
933.012854,CN_MM
0.093301,CN_RA
933.014054,CN_RA
933.015255,CN_MM
0.933015,CN_RA
933.016455,CN_RA
933.017654,CN_MM
0.093301,CN_RA
933.018854,CN_RA
933.020055,CN_RA
933.021255,CN_MM
0.093302,CN_RA
933.023654,CN_MM
0.933023,CN_RA
933.024854,CN_MM
0.093302,CN_RA
933.026055,CN_RA
933.028465,CN_MM
933.028465,CN_RA
933.029654,CN_RA
933.030854,CN_RA
933.036854,CN_RA
933.040465,CN_RA
933.041654,CN_MM
0.093304,CN_RA
933.044054,CN_MM
933.044054,CN_RA
933.044054,CN_SA
933.045255,CN_MM
0.093304,CN_RA
933.046466,CN_MM
0.093304,CN_RA
933.047654,CN_MM
0.933047,CN_RA
933.048854,CN_RA
933.048854,CN_SA
933.050055,CN_MM
0.093305,CN_RA
933.051254,CN_RA
933.051254,CN_SA
933.05247,CN_MM
0.933052,CN_RA
933.053654,CN_MM
933.053654,CN_RA
933.053654,CN_SA
933.054854,CN_MM
