t_rel_s,t_unix,touch_t_stm_s,force_net_n,load_cell_raw_n,load_cell_voltage_v,touch_i_final,v00,v01,v02,v03,v04,v10,v11,v12,v13,v14,v20,v21,v22,v23,v24,v30,v31,v32,v33,v34,v40,v41,v42,v43,v44
0.0585,1782562475.9215,2926.212455,0.0000,0.0000,0.00000,3.2911,3.2549,3.2807,3.2871,3.2984,3.2944,3.2597,3.2847,3.2871,3.2984,3.2992,3.3000,3.3000,3.3000,3.2984,3.2960,3.3000,3.3000,3.2984,3.2855,3.2911,3.3000,3.2927,3.2936,3.2831,3.2944
0.0596,1782562475.9226,2926.213654,0.0000,0.0000,0.00000,3.2918,3.2847,3.2984,3.2976,3.3000,3.2984,3.3000,3.3000,3.3000,3.2919,3.2895,3.3000,3.3000,3.2992,3.2839,3.2911,3.2613,3.2799,3.2871,3.2871,3.2960,3.2742,3.2879,3.2879,3.2992,3.3000
0.0607,1782562475.9238,2926.214854,0.0000,0.0000,0.00000,3.2913,3.3000,3.3000,3.3000,3.2936,3.2911,3.2710,3.2807,3.2887,3.2871,3.2936,3.2573,3.2774,3.2879,3.2911,3.2976,3.2823,3.2984,3.2968,3.3000,3.2944,3.3000,3.3000,3.3000,3.3000,3.2936
0.0625,1782562475.9255,2926.216054,0.0000,0.0000,0.00000,3.2924,3.2557,3.2807,3.2863,3.2895,3.2944,3.2823,3.2976,3.2984,3.3000,3.3000,3.3000,3.3000,3.3000,3.3000,3.2871,3.3000,3.3000,3.3000,3.2847,3.2895,3.3000,3.2871,3.2911,3.2895,3.2952
0.0633,1782562475.9264,2926.217255,0.0000,0.0000,0.00000,3.2920,3.2807,3.2952,3.2976,3.3000,3.2976,3.3000,3.3000,3.3000,3.2968,3.2911,3.3000,3.2984,3.2968,3.2831,3.2903,3.2629,3.2831,3.2847,3.2952,3.2952,3.2782,3.2863,3.2903,3.2992,3.2984
0.0643,1782562475.9274,2926.218454,0.0000,0.0000,0.00000,3.2934,3.3000,3.3000,3.3000,3.2976,3.2919,3.3000,3.2903,3.2936,3.2799,3.2919,3.2516,3.2823,3.2879,3.2919,3.2976,3.2952,3.2944,3.2968,3.3000,3.2992,3.3000,3.3000,3.3000,3.3000,3.2919
0.0655,1782562475.9286,2926.219655,0.0000,0.0000,0.00000,3.2911,3.2613,3.2823,3.2871,3.2895,3.2919,3.2710,3.2871,3.2871,3.3000,3.2976,3.2799,3.2984,3.2976,3.3000,3.2992,3.3000,3.3000,3.3000,3.2944,3.2919,3.2936,3.2847,3.2919,3.3000,3.2919
0.0670,1782562475.9300,2926.220855,0.0000,0.0000,0.00000,3.2907,3.2670,3.2871,3.2919,3.3000,3.2984,3.3000,3.3000,3.3000,3.3000,3.2927,3.3000,3.2984,3.2960,3.2839,3.2879,3.3000,3.2871,3.2944,3.2847,3.2871,3.2557,3.2823,3.2871,3.2887,3.2968
0.0681,1782562475.9312,2926.222054,0.0000,0.0000,0.00000,3.2921,3.3000,3.3000,3.3000,3.2968,3.2919,3.3000,3.2927,3.2927,3.2847,3.2911,3.2710,3.2839,3.2863,3.2839,3.3000,3.2621,3.2855,3.2919,3.3000,3.2968,3.3000,3.3000,3.3000,3.2992,3.2927
0.0693,1782562475.9324,2926.223255,0.0000,0.0000,0.00000,3.2919,3.2927,3.2823,3.2887,3.2815,3.2919,3.2629,3.2863,3.2871,3.2984,3.2992,3.2815,3.2952,3.2992,3.3000,3.2960,3.3000,3.3000,3.3000,3.2895,3.2919,3.3000,3.3000,3.3000,3.2831,3.2903
