t_rel_s,t_unix,force_net_n,load_cell_raw_n,load_cell_voltage_v,touch_i_final,v00,v01,v02,v03,v10,v11,v12,v13,v20,v21,v22,v23,v30,v31,v32,v33
1.0440,1782154917.8634,0.0000,0.0000,0.00000,0.0000,3.2589,3.2662,3.2766,3.2645,3.2662,3.2476,3.2694,3.2565,3.3000,3.2758,3.2750,3.2710,3.2984,3.2637,3.2742,3.2686
1.0641,1782154917.8836,0.0000,0.0000,0.00000,0.0000,3.2589,3.2662,3.2766,3.2645,3.2662,3.2476,3.2694,3.2565,3.3000,3.2758,3.2750,3.2710,3.2984,3.2637,3.2742,3.2686
1.0844,1782154917.9039,0.0000,0.0000,0.00000,0.0000,3.2589,3.2662,3.2766,3.2645,3.2662,3.2476,3.2694,3.2565,3.3000,3.2758,3.2750,3.2710,3.2984,3.2637,3.2742,3.2686
1.1048,1782154917.9243,0.0000,0.0000,0.00000,0.0000,3.2589,3.2662,3.2766,3.2645,3.2662,3.2476,3.2694,3.2565,3.3000,3.2758,3.2750,3.2710,3.2984,3.2637,3.2742,3.2686
1.1249,1782154917.9444,0.0000,0.0000,0.00000,0.0000,3.2589,3.2662,3.2766,3.2645,3.2662,3.2476,3.2694,3.2565,3.3000,3.2758,3.2750,3.2710,3.2984,3.2637,3.2742,3.2686
1.1451,1782154917.9645,0.0000,0.0000,0.00000,0.0000,3.3000,3.2710,3.2742,3.2645,3.2968,3.2428,3.2662,3.2589,3.2815,3.2686,3.2734,3.2742,3.2662,3.2694,3.2766,3.2694
1.1658,1782154917.9853,0.0000,0.0000,0.00000,0.0000,3.3000,3.2710,3.2742,3.2645,3.2968,3.2428,3.2662,3.2589,3.2815,3.2686,3.2734,3.2742,3.2662,3.2694,3.2766,3.2694
1.1864,1782154918.0058,0.0000,0.0000,0.00000,0.0000,3.3000,3.2710,3.2742,3.2645,3.2968,3.2428,3.2662,3.2589,3.2815,3.2686,3.2734,3.2742,3.2662,3.2694,3.2766,3.2694
1.2070,1782154918.0264,0.0000,0.0000,0.00000,0.0000,3.3000,3.2710,3.2742,3.2645,3.2968,3.2428,3.2662,3.2589,3.2815,3.2686,3.2734,3.2742,3.2662,3.2694,3.2766,3.2694
1.2273,1782154918.0467,0.0000,0.0000,0.00000,0.0000,3.3000,3.2710,3.2742,3.2645,3.2968,3.2428,3.2662,3.2589,3.2815,3.2686,3.2734,3.2742,3.2662,3.2694,3.2766,3.2694
